,name,price,os,graphics,display,ram,rom,warranty,rating,core,intel_core
608,Lenovo Ideapad 15ALC6 82KU017KIN Laptop (Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),"₹42,703",Windows 11 OS,AMD Radeon,"15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,1 Year Warranty,,"Hexa Core, 12 Threads",5th Gen AMD Ryzen 5  5500U
609,HP Pavilion 14-dv1000TU Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹54,990",Windows OS,Intel Integrated Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,1 Year Warranty,,"Quad Core, 8 Threads",11th Gen Intel Core i5 1155G7
610,Apple MacBook Pro 14 inch MKGQ3HN Laptop (M1 Pro 10-core CPU/ 16GB/ 1TB SSD/ Mac OS Monterey/ 16-core GPU),"₹2,39,900",Mac OS,16-core GPU,"14.2 inches, 3024 x 1964 pixels",16 GB Unified Memory RAM,1 TB SSD,1 Year Warranty,,10 Cores (8P + 2E),Apple M1 Pro M1 Pro
611,Apple MacBook Pro 16 inch MK1A3HN Laptop (M1 Max 10-core CPU/ 32GB/ 1TB SSD/ Mac OS Monterey/ 32-core GPU),"₹3,09,490",Mac OS,32-core GPU,"16.2 inches, 3456 x 2234 pixels",32 GB Unified Memory RAM,1 TB SSD,1 Year Warranty,60,10 Cores,Apple M1 Max M1 Max
612,Lenovo Chromebook 3 82BA0003US Laptop (Intel Celeron N4020/ 4GB/ 64GB SSD/ Chrome OS),"₹35,842",1 Year Warranty,"11.6 inches, 1366 x 768 pixels",Chrome OS,4 GB DDR4 RAM,Intel UHD Graphics 600,2 USB 3.0 Ports,,"Dual Core, 2 Threads",Intel Celeron  N4020 
613,Dell Inspiron 3511 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10),"₹49,990",Windows 10  OS,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,1 Year Warranty,,"Quad Core, 8 Threads",11th Gen Intel Core i5 1135G7
614,Lenovo IdeaPad 3 CB 11IGL05 82BA001PHA Laptop (Celeron Dual Core/ 4GB/ 64GB eMMC/ Chrome OS),"₹17,600",1 Year Warranty,"11.6 inches, 1366 x 768 pixels",Chrome OS,4 GB LPDDR4 RAM,Intel Integrated UHD,Backlit Keyboard,,"Dual Core, 2 Threads",Intel Celeron  N4020
615,Lenovo IdeaPad Gaming 3 82K100MVIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹54,290",Windows 10  OS,4 GB NVIDIA GeForce GTX 1650 ,"15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,1 Year Warranty,65,"Quad Core, 8 Threads",11th Gen Intel Core i5 11300H
616,HP Pavilion 15-ec2008AX Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win10/ 4GB Graph),"₹64,999",Windows 10 OS,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,1 Year Warranty,70,"Hexa Core, 12 Threads",5th Gen AMD Ryzen 5  5600H 
617,Asus VivoBook F571LH-BQ435T Gaming Laptop (10th Gen Core i7/ 16GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹59,990",Windows 10 OS,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,512 GB SSD,1 Year Warranty,72,"Octa Core, 16 Threads",10th Gen Intel Core i7 10870H
618,Dell Inspiron 3511 Laptop (11th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win10/ 2GB Graph),"₹64,000","15.6 inches, 1920 x 1080 pixels",256 GB SSD,2 GB NVIDIA GeForce MX350,8 GB DDR4 RAM,1 TB Hard Disk,Windows 10 OS,65,"Quad Core, 8 Threads",11th Gen Intel Core i5 1135G7
619,Dell Inspiron 5518 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win10 Home/ 2GB Graph),"₹69,999",Windows 10 OS,2 GB NVIDIA MX450,"15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,512 GB SSD,1 Year Warranty,72,"Quad Core, 8 Threads",11th Gen Intel Core i5 11300H
620,Vaio SE14 NP14V3IN033P Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Home),"₹39,990",Windows 10 OS,Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,2 Year Warranty,,"Quad Core, 8 Threads",11th Gen Intel Core i5 1135G7
621,HP 11A-NA0002MU Chromebook (MT8183/ 4GB/ 64GB eMMC/ Chrome OS),"₹17,990",1 Year Warranty,"11.6 inches, 1366 x 768 pixels, Touch Screen",Chrome OS,4 GB DDR4 RAM,MediaTek Integrated,,,Octa Core,MediaTek MT8183 MT8183
622,Dell Inspiron 3501 Laptop (11th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win10),"₹52,500","15.6 inches, 1920 x 1080 pixels",256 GB SSD,Intel Iris Xe Graphics,8 GB DDR4 RAM,1 TB Hard Disk,Windows 10 OS,,"Quad Core, 8 Threads",11th Gen Intel Core i5 1135G7 
623,HP Omen 15-ek0025tx Laptop (10th Gen Core i5/ 8GB/ 512GB SSD/ Win10/ 4GB Graph),"₹69,999",Windows 10 OS,4 GB NVIDIA Geforce GTX 1650,"15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,Backlit Keyboard,64,"Quad Core, 8 Threads",10th Gen Intel Core i5 10300H
624,Lenovo Legion 7i 15IMHG05 81YU002AIN Gaming Laptop (10th Gen Core i7/ 16GB/ 1TB SSD/ Win10 Home/ 8GB Graph),"₹1,00,490",Windows 10 OS,8 GB NVIDIA Geforce RTX 2080 Super Max-Q,"15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,1 TB SSD,1 Year Warranty,83,"Octa Core, 16 Threads",10th Gen Intel Core i7 10875H
625,Microsoft Surface Laptop 3 1873 (V4G-00021) Laptop (Ryzen 5/ 8GB/ 128GB SSD/ Win10 Home),"₹60,390",Windows 10 OS,AMD Radeon Vega 9,"15 inches, 2496 x 1664 pixels, Touch Screen",8 GB DDR4 RAM,128 GB SSD,1 Year Warranty,,"Quad Core, 8 Threads",3rd Gen AMD Ryzen 5  3580U
626,HP EliteBook 840 G6 (8LX79PA) Laptop (8th Gen Core i5/ 8GB/ 512GB SSD/ Win10),"₹90,464",Windows 10 OS,Integrated UHD Graphics 620,"14 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,3 Year Warranty,,"Quad Core, 8 Threads",8th Gen Intel Core i5 8265U
627,Dell Inspiron 5370 Laptop (8th Gen Core i7/ 8GB/ 256GB SSD/ Win10/ 4GB Graph),"₹87,990",Windows 10 OS,4 GB Geforce MX130,"13.3 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,256 GB SSD,1 Year Warranty,67,"Quad Core, 8 Threads",8th Gen Intel Core i7 8550U
628,Asus VivoBook S430FN-EB059T Laptop (8th Gen Core i7/ 8GB/ 1TB 256GB SSD/ Win10 Home/ 2GB Graph),"₹53,190","14 inches, 1920 x 1080 pixels",256 GB SSD,2 GB NVIDIA Geforce MX150,8 GB DDR4 RAM,1 TB Hard Disk,Windows 10 OS,72,"Quad Core, 8 Threads",8th Gen Intel Core i7 8565U
629,Dell Latitude 13 5320 2 in 1 Laptop (11th Gen Core i5/ 8GB/ 256GB SSD/ Win10 Pro),"₹89,999",Windows 10  OS,Intel UHD Graphics,"13.3 inches, 1920 x 1080 pixels, Touch Screen",8 GB DDR4 RAM,256 GB SSD,1 Year Warranty,62,"Quad Core, 8 Threads",11th Gen Intel Core i5 1135G7
630,Dell Latitude 9430 Laptop (12th Gen Core i7/ 32GB/ 1TB SSD/ Windows),"₹2,60,000",Windows OS,Intel Iris Xe Graphics,"14.1 inches, 2560 x 1600 pixels, Touch Screen",32 GB LPDDR5 RAM,1 TB SSD,1 Year Warranty,62,"10 Cores (2P + 8E), 12 Threads",12th Gen Intel Core i7 1265U
631,Lenovo Thinkpad P16s 21BTS0DG00 Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Pro),"₹1,06,990",Windows 11 OS,Intel UHD Graphics,"16 inches, 1920 x 1200 pixels",16 GB DDR4 RAM,1 TB SSD,3 Year Warranty,69,"12 Cores (4P + 8E), 16 Threads",12th Gen Intel Core i7 1260P
632,Lenovo ThinkPad X1 Carbon 21HMS00000 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Pro),"₹2,21,990",Windows 11 OS,Intel Iris Xe Graphics,"14 inches, 1920 x 1200 pixels",16 GB LPDDR5 RAM,1 TB SSD,1 Year Warranty,64,"10 Cores (2P + 8E), 12 Threads",13th Gen Intel Core i7 1355U
633,Avita Liber AM15A2INT56F Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹41,249",Windows 11 OS,Intel Integrated Graphics,"15.6 inches, 1920 x 1080 pixels",8 GB  RAM,512 GB SSD,1 Year Warranty,,"Hexa Core (2P + 4E), 8 Threads",12th Gen Intel Core i3 1215U
634,Acer TravelMate P2 TMP214-53 14 Business Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),"₹49,990",Windows 11 OS,Intel Integrated Iris Xe,"14 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,512 GB SSD,1 Year Warranty,64,"Quad Core, 8 Threads",11th Gen Intel Core i7 1165G7
635,Acer Aspire Lite AL15-52 2023 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹42,990",Windows 11 OS,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,1 Year Warranty,62,"10 Cores (2P + 8E), 12 Threads",12th Gen Intel Core i5 1235U
636,HP ProBook 440 G8 7L375PA Notebook PC (11th Gen Core i7/ 8GB/ 512GB SSD/ Win11),"₹1,02,899",Windows 11 OS,Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,1 Year Warranty,67,"Quad Core, 8 Threads",11th Gen Intel Core i7 1165G7 
637,Avita Pura S101 Laptop (Celeron N4020/ 8GB/256GB SSD/ Win11 Home),"₹21,999",Windows 11 OS,Intel Integrated UHD Graphics,"14 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,256 GB SSD,1 Year Warranty,,"Dual Core, 2 Threads",Intel Celeron  N4020
638,Lenovo Ideapad Slim 3i 82H803TWIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹43,880",Windows 11 OS,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,1 Year Warranty,,"Quad Core, 8 Threads",11th Gen Intel Core i5 1155G7
639,Apple MacBook Pro 14 2023 Laptop (Apple M3 Pro/ 18GB/ 1TB SSD/ macOS),"₹2,39,900",Mac OS,18 Core GPU,"14.2 inches, 3024 x 1964 pixels",18 GB  RAM,1 TB SSD,1 Year Warranty,,12 Cores (6P + 6E),Apple M3 Pro
640,Apple MacBook Pro 14 2023 Laptop (Apple M3/ 8GB/ 1TB SSD/ macOS),"₹1,89,900",Mac OS,10 Core GPU,"14.2 inches, 3024 x 1964 pixels",8 GB  RAM,1 TB SSD,1 Year Warranty,,Octa Core (4P + 4E),Apple M3
641,Lenovo Yoga Slim 7i Carbon 13IRP8 83AY003CIN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),"₹1,32,590",Windows 11 OS,Intel Integrated Iris Xe,"13.3 inches, 2560 x 1600 pixels, Touch Screen",16 GB LPDDR5 RAM,1 TB SSD,1 Year Warranty,67,"12 Cores (4P + 8E), 16 Threads",13th Gen Intel Core i7 1360P
642,Asus Chromebook CX1500CKA-EJ0247 Laptop (Celeron N4500/ 8GB/ 128GB eMMC/ Chrome OS),"₹32,990",Chrome OS,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",8 GB LPDDR4X RAM,128 GB Hard Disk,1 Year Warranty,,"Dual Core, 2 Threads",Intel Celeron N4500
643,Lenovo IdeaPad Gaming 3 Gen 6 82K2028QIN Laptop (AMD Ryzen 5 5500H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹52,890",Windows 11 OS,4 GB NVIDIA GeForce RTX 2050,"15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,1 Year Warranty,65,"Quad Core, 8 Threads",5th Gen AMD Ryzen 5 5500H
644,Asus Chromebook CX1400FKA-EC0168 Laptop (Celeron N4500/ 8GB/ 128GB eMMC/ Chrome OS),"₹32,990",Chrome OS,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels, Touch Screen",8 GB LPDDR4X RAM,128 GB Hard Disk,1 Year Warranty,,"Dual Core, 2 Threads",Intel Celeron N4500
645,Avita Pura S102 Laptop (Celeron N4020/ 8GB/ 512GB SSD/ Win11 Home),"₹23,689",Windows 11 OS,Intel Integrated UHD Graphics,"15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,1 Year Warranty,,"Dual Core, 2 Threads",Intel Celeron  N4020
646,HP Spectre x360 14-ef2036TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),"₹1,45,990",Windows 11 OS,Intel Iris Xe Graphics,"13.5 inches, 3000 x 2000 pixels, Touch Screen",16 GB LPDDR4X RAM,512 GB SSD,1 Year Warranty,70,"10 Cores (2P + 8E), 12 Threads",13th Gen Intel Core i7 1355U
647,Dell Latitude 3540 Laptop (13th Gen Core i5/ 8GB/ 256GB SSD/ Win11 Pro),"₹74,990",Windows 11 OS,Intel Graphics,"15.6 inches, 1366 x 720 pixels",8 GB DDR4 RAM,256 GB SSD,1 Year Warranty,,"10 Cores (2P + 8E), 12 Threads",13th Gen Intel Core i5 1335U
648,HP ProBook 440 G9 821M3PA Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹76,599",Windows 11 OS,Intel Iris Xe Graphics,"14 inches, 1366 x 768 pixels",16 GB DDR4 RAM,512 GB SSD,1 Year Warranty,69,"10 Cores (2P + 8E), 12 Threads",12th Gen Intel Core i5 1235U
649,Lenovo Yoga Slim 7 Pro 82NC00F9IN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹75,999",Windows 11 OS,Intel Integrated Iris Xe,"14 inches, 2880 x 1800 pixels",16 GB LPDDR4x RAM,512 GB SSD,3 Year Warranty,64,"Quad Core, 8 Threads",11th Gen Intel Core i5 11320H
650,HP Victus 15-fa1134TX Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹1,09,552",Windows 11 OS,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,512 GB SSD,1 Year Warranty,77,"10 Cores (6P + 4E), 16 Threads",12th Gen Intel Core i7 12650H
651,Infinix INBook Y1 Plus 15 XL28 Laptop (10th Gen Core i5/ 8GB/ 512GB SSD/ Win 11 Home),"₹29,990",Windows 11 OS,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",8 GB LPDDR4X RAM,512 GB SSD,1 Year Warranty,,"Quad Core, 8 Threads",10th Gen Intel Core i5 1035G1
652,Lenovo Legion Pro 7 82WQ007UIN Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 16GB Graph),"₹3,58,478",Windows 11 OS,16 GB NVIDIA Geforce RTX 4090 ,"16 inches, 2560 x 1600 pixels",32 GB DDR5 RAM,1 TB SSD,1 Year Warranty,86,"24 Cores (8P + 16E), 32 Threads",13th Gen Intel Core i9 13900HX
653,Acer Aspire 5 A514-56M NX.KH6SI.001 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹56,990",Windows 11 OS,Intel Integrated Iris Xe,"14 inches, 1920 x 1200 pixels",16 GB LPDDR5 RAM,512 GB SSD,1 Year Warranty,,"10 Cores (2P + 8E), 12 Threads",13th Gen Intel Core i5 1335U
654,Dell Inspiron 7430 IC7430MH5K0M01ORS1 Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹74,990",Windows 11 OS,Intel Integrated,"14 inches, 1920 x 1200 pixels, Touch Screen",8 GB LPDDR5 RAM,512 GB SSD,1 Year Warranty,64,"10 Cores (2P + 8E), 12 Threads",13th Gen Intel Core i5 1335U
655,Gigabyte G5 MF-E2IN313SHLaptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹89,990",Windows 11 OS,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,2 Year Warranty,77,"12 Cores (4P + 8E), 16 Threads",12th Gen Intel Core i5 12500H
656,Dell Inspiron 3530 IN3530RMD8W001ORS1 Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),"₹70,890",Windows 11 OS,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,1 TB SSD,1 Year Warranty,,"10 Cores (2P + 8E), 12 Threads",13th Gen Intel Core i5 1335U
657,MSI Vector GP68 HX 13VG-214IN Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,84,990",Windows 11 OS,8 GB NVIDIA GeForce RTX 4070,"16 inches, 2560 x 1600 pixels",16 GB DDR5 RAM,1 TB SSD,1 Year Warranty,80,"16 Cores (8P + 8E), 24 Threads",13th Gen Intel Core i7 13700HX
658,Asus Vivobook Pro 15 OLED M6500QC-LK751WS Laptop (Ryzen 7 5800HS/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),"₹84,800",Windows 11 OS,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,1 TB SSD,1 Year Warranty,67,"Octa Core, 16 Threads",5th Gen AMD Ryzen 7 5800HS
659,Lenovo IdeaPad Flex 5 82R9008FIN Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),"₹61,990",Windows 11 OS,AMD Radeon Graphics,"14 inches, 1920 x 1200 pixels, Touch Screen",16 GB DDR4 RAM,512 GB SSD,1 Year Warranty,69,"Hexa Core, 12 Threads",5th Gen AMD Ryzen 5  5500U
660,Asus Vivobook Go 14 E1404FA-NK547WS Laptop (Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11),"₹42,990",Windows 11 OS,AMD Radeon AMD,"14 inches, 1920 x 1080 pixels",8 GB LPDDR5 RAM,512 GB SSD,1 Year Warranty,,"Quad Core, 8 Threads",7th Gen AMD Ryzen 5 7520U
661,Lenovo Ideapad Slim 5 82XE007DIN Laptop (AMD Ryzen 5 7530U/ 16 GB RAM/ 1TB SSD/ Win 11),"₹63,990",Windows 11 OS,AMD Radeon Graphics,"14 inches, 1920 x 1200 pixels",16 GB DDR4 RAM,1 TB SSD,1 Year Warranty,65,"Hexa Core, 12 Threads",7th Gen AMD Ryzen 5 7530U
662,Asus Vivobook 15X OLED M3504YA-LK552WS Laptop (AMD Ryzen 5 7530U/ 16GB/ 1TB SSD/ Win11 Home),"₹69,499",Windows 11 OS,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,1 TB SSD,1 Year Warranty,65,"Hexa Core, 12 Threads",7th Gen AMD Ryzen 5 7530U
663,MSI Katana 15 B12VGK-1295IN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,36,990",Windows 11 OS,8 GB NVIDIA GeForce RTX 4070,"15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,1 TB SSD,2 Year Warranty,72,"10 Cores (6P + 4E), 16 Threads",12th Gen Intel Core i7 12650H
664,MSI Pulse 15 B13VGK-1296IN Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,57,990",Windows 11 OS,8 GB NVIDIA GeForce RTX 4070,"15.6 inches, 2560 x 1440 pixels",16 GB DDR5 RAM,1 TB SSD,2 Year Warranty,71,"14 Cores (6P + 8E), 20 Threads",13th Gen Intel Core i7 13700H
665,Lenovo Thinkpad L14 Gen 2 ‎20X1S10V00 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ DOS),"₹49,499",DOS OS,Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,512 GB SSD,3 Year Warranty,,"Dual Core, 4 Threads",11th Gen Intel Core i3 1115G4
666,Asus Vivobook 16 2023 X1605ZAB-MB342WS Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home),"₹43,689",Windows 11 OS,Intel Integrated UHD,"16 inches, 1920 x 1200 pixels",16 GB DDR4 RAM,512 GB SSD,1 Year Warranty,62,"Hexa Core (2P + 4E), 8 Threads",12th Gen Intel Core i3 1215U
